한국PVC,25000,30000,0,6000,0,0,0,0,0,0,0,0
한국건설(포항),28000,32000,36000,0,0,0,0,0,0,0,0,0
한국산업씨엠,23000,28000,32000,0,0,0,0,0,0,0,0,0
한국케미칼,24000,30000,33000,0,50000,130000,0,0,0,0,0,0
한성수지,24000,28000,31000,0,50000,120000,0,0,0,0,0,0
한솔방수(전주),23000,28000,32000,0,0,0,0,0,0,0,0,0
한울이엔지,23000,27000,31000,0,35000,130000,0,0,0,0,0,0
한일상사,25000,29000,0,0,0,0,0,0,0,0,0,0
한진케미칼,22000,28000,31000,5500,40000,0,0,0,0,0,0,0
해성케미칼,23000,28000,32000,0,0,0,0,0,0,0,0,0
현대종합철물,24000,30000,0,0,0,0,0,0,0,0,0,0
현성베스코,25000,29000,0,0,0,0,0,0,0,0,0,0
현진상사,23000,28000,0,6000,0,0,0,0,58000,0,55000,0
형제산업,22000,27000,30000,6000,0,0,0,0,0,0,0,0
호남시멘트,24000,0,0,0,0,0,0,0,0,0,0,0
홍철기업(천호동),25000,0,0,6000,0,0,0,0,0,0,0,0
화니건설,26000,31000,35000,0,0,0,0,0,0,0,0,0
화림상사,25000,0,0,6000,0,0,0,0,0,0,0,0
효성건축,25000,29000,32000,6000,0,0,0,0,0,0,0,0
